DOI
10.1145/2771284.2771287
10.1145/2430475.2430497
10.1109/ICSE-Companion.2019.00052
10.1145/3200921.3200937
10.1145/3473333
10.1145/3035918.3058747
10.1145/2388936.2388939
10.1145/3132847.3132954
10.1145/2588555.2593672
10.1145/3511430.3511451
10.1145/2430553.2430555
10.1145/3092703.3092708
10.1109/ICSE-SEIP.2019.00014
10.1145/2894749
10.1145/2676726.2676968
10.1145/2775051.2676968
10.1145/2259051.2259053
10.1145/2931021.2931026
10.1145/3196321.3196367
10.1145/3106237.3122819
10.1145/3196494.3196538
10.1145/3212480.3212487
10.1145/3183440.3183470
10.1145/2810103.2812703
10.1145/3133841.3133846
10.1145/3170472.3133846
10.1145/3025453.3025506
10.1145/3092703.3092724
10.1145/2950290.2950292
10.1145/2752952.2752976
10.1145/3488932.3527288
10.1109/ASE.2015.102
10.1145/3395363.3397363
10.1145/2675359
10.1109/WETSEB.2019.00008
10.1145/3385412.3385999
10.1145/2366231.2337211
10.1145/2568225.2568243
10.1145/2818000.2856129
10.1145/2364527.2364531
10.1145/2398856.2364531
10.1145/2351676.2351691
10.1145/3381991.3395396
10.1145/3488932.3497765
10.1145/2961111.2962593
10.1145/2983990.2983996
10.1145/3022671.2983996
10.1109/ICSE-Companion.2019.00033
10.1145/3412815.3416896
10.1145/2993600.2993612
10.1145/2771783.2771810
10.1145/2771284.2771288
10.1145/2610384.2628050
10.1145/2429384.2429447
10.1145/3337794
10.1145/3092703.3092734
10.1145/2086696.2086733
10.1145/2544137.2544159
10.1145/2581122.2544159
10.1145/2568326.2568331
10.1145/2807426.2807439
10.1145/3015464
10.1145/2508168.2508175
10.1145/2578856.2508175
10.1145/3291533.3291576
10.1145/3453483.3454044
10.1145/2635868.2635869
10.1145/2509136.2509546
10.1145/2544173.2509546
10.1145/3424978.3425068
10.1145/3314575
10.1145/3092703.3098240
10.1145/3359789.3359820
10.1145/3421472
10.1109/ASE.2015.37
10.1145/2593882.2593900
10.1145/2134254.2134277
10.1145/2854038.2854049
10.1145/3338906.3338952
10.1145/3501774.3501777
10.1145/2638556
10.1145/3372133
10.1145/2393596.2393611
10.1145/3357526.3357537
10.1109/ASE.2015.99
10.1145/3428203
10.1145/2597652.2597683
10.1145/3125501.3125524
10.1145/3290356
10.1145/3243734.3243835
10.1145/2109205.2109208
10.1109/ASE.2013.6693108
10.1145/2675744.2675767
10.1145/3302516.3307348
10.1109/ICCPS.2012.60
10.1145/3437992.3439913
10.1145/2824255
10.1561/2500000014
10.1561/2500000002
10.1109/CEE-SECR.2010.5783153
10.1109/COMPSAC.2009.28
10.1109/TII.2016.2604760
10.1109/ICCAD.2011.6105319
10.26599/TST.2019.9010067
10.1145/1985793.1985827
10.1109/ICoDSE53690.2021.9648519
10.1109/TSE.2017.2692783
10.1145/3510003.3510046
10.1093/logcom/8.4.457
10.1109/SEW.2012.15
10.1109/ICDE.2011.5767949
10.23919/CISTI.2017.7975677
10.1109/TSE.2021.3095716
10.1109/CSMR.2010.26
10.1109/CGO.2009.17
10.1109/HIPC.1998.737980
10.1147/sj.462.0265
10.1109/ACSAC.2007.39
10.1109/APSEC53868.2021.00033
10.1109/MEMCOD.2016.7797761
10.1109/ICST.2010.6
10.1109/ICDE48307.2020.00030
